time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452624938547,1452624943528,187.83364431001246,square,ET18PD73,2.357552004618084,5,5,0.0684931506849315,27,78,73,4.981
1452624931359,1452624938547,124.94391585700214,exploded,ET18PD73,1.0874628412503393,4,-2,-0.024390243902439025,18,80,82,7.188
1452624959404,1452624962368,230.74582337401807,exploded,ET18PD73,0.16992500144231237,7,-1,-0.0196078431372549,49,50,51,2.964
1452624943529,1452624959404,147.90760240517557,outerRadius,ET18PD73,1.6438561897747246,6,-3,-0.07894736842105263,62,35,38,15.875
1452624971984,1452624979840,245.2718925755471,ellipse,ET18PD73,1.6438561897747246,9,-3,-0.038461538461538464,22,75,78,7.856
1452625176035,1452625178846,160.20615695044398,ellipse,ET18PD73,3.189824558880017,31,9,0.13636363636363635,34,75,66,2.811
1452625316021,1452625352444,105.04052443429828,outerRadius,ET18PD73,-3,49,0,0,63,37,37,36.423
1452625239501,1452625244832,23.671143148094416,square,ET18PD73,-3,39,0,0,15,85,85,5.331
1452625205191,1452625209117,219.43116369657218,square,ET18PD73,0.16992500144231237,34,-1,-0.02040816326530612,51,48,49,3.926
1452625220422,1452625239500,37.25505692884326,ellipse,ET18PD73,0.16992500144231237,38,-1,-0.017857142857142856,44,55,56,19.078
1452624962370,1452624971984,129.31931692175567,square,ET18PD73,0.16992500144231237,8,1,0.02631578947368421,62,39,38,9.614
1452625035506,1452625037844,34.15952696464956,pie,ET18PD73,0.16992500144231237,15,1,0.25,96,5,4,2.338
1452625031610,1452625035506,292.9327812138945,ellipse,ET18PD73,-3,14,0,0,94,6,6,3.896
1452624985584,1452624989821,68.6233289167285,exploded,ET18PD73,-3,11,0,0,64,36,36,4.237
1452624979840,1452624985583,9.624812928959727,pie,ET18PD73,1.6438561897747246,10,3,0.07317073170731707,59,44,41,5.743
1452625025030,1452625031610,341.3283153343946,pie,ET18PD73,0.16992500144231237,13,1,0.010869565217391304,8,93,92,6.58
1452624989822,1452625025029,272.1691893506795,outerRadius,ET18PD73,-3,12,0,0,75,25,25,35.207
1452625496642,,7.145673204213381,pie,ET18PD73,1.0874628412503393,59,-2,-0.020833333333333332,4,94,96,
1452625493744,1452625496642,297.9470157343894,square,ET18PD73,2.357552004618084,58,5,1,95,10,5,2.898
